Date,Open,High,Low,Close,Adj Close,Volume
2021-03-12,37.919998,38.180000,37.580002,37.939999,37.780960,46069600
2021-03-15,38.029999,38.070000,37.220001,37.750000,37.591755,50131600
2021-03-16,37.419998,37.720001,36.970001,37.639999,37.482216,50300400
2021-03-17,38.000000,38.360001,37.330002,37.950001,37.790920,63796000
2021-03-18,38.509998,39.970001,38.419998,38.939999,38.776768,95439700
2021-03-19,38.290001,38.919998,37.529999,38.529999,38.368484,106252700
2021-03-22,38.080002,38.380001,37.400002,37.660000,37.502132,54701300
2021-03-23,37.360001,37.820000,36.779999,36.900002,36.745323,49838000
2021-03-24,37.209999,37.790001,36.889999,36.900002,36.745323,43896800
2021-03-25,36.869999,37.750000,36.630001,37.660000,37.502132,47517900
2021-03-26,38.349998,38.759998,38.080002,38.680000,38.517860,66846000
2021-03-29,38.049999,38.630001,37.860001,38.310001,38.149410,45680000
2021-03-30,38.630001,39.459999,38.630001,38.990002,38.826561,56705900
2021-03-31,38.619999,38.990002,38.459999,38.689999,38.527817,49270000
2021-04-01,38.830002,39.520000,38.720001,39.490002,39.324463,65587000
2021-04-05,40.000000,40.279999,39.599998,39.799999,39.633163,50328500
2021-04-06,39.529999,40.150002,39.459999,39.689999,39.523624,42590100
2021-04-07,39.770000,40.150002,39.590000,40.049999,39.882114,43136400
2021-04-08,39.799999,39.849998,39.220001,39.700001,39.533585,45285900
2021-04-09,39.910000,40.180000,39.509998,39.990002,39.822369,45872900
2021-04-12,39.990002,40.380001,39.849998,40.060001,39.892075,45544600
2021-04-13,39.810001,39.820000,39.200001,39.320000,39.155174,46770400
2021-04-14,38.980000,40.330002,38.919998,39.880001,39.712830,52023800
2021-04-15,39.730000,39.840000,38.049999,38.740002,38.577610,118128900
2021-04-16,39.310001,39.419998,38.910000,39.150002,38.985889,60633400
2021-04-19,39.389999,39.430000,39.029999,39.169998,39.005802,42321100
2021-04-20,39.000000,39.000000,37.889999,38.080002,37.920376,50834100
2021-04-21,37.750000,38.779999,37.410000,38.720001,38.557693,37851800
2021-04-22,38.750000,38.770000,38.169998,38.360001,38.199200,48093400
2021-04-23,38.320000,39.340000,38.220001,39.180000,39.015762,48674100
2021-04-26,39.349998,39.849998,39.279999,39.410000,39.244797,34699800
2021-04-27,39.669998,39.919998,39.509998,39.880001,39.712830,34304800
2021-04-28,39.930000,40.220001,39.880001,40.029999,39.862198,34084400
2021-04-29,40.549999,41.130001,40.459999,41.110001,40.937672,44008700
2021-04-30,40.840000,40.900002,40.470001,40.529999,40.360104,39203400
2021-05-03,40.869999,41.049999,40.419998,40.560001,40.389980,41940500
2021-05-04,40.240002,41.080002,39.779999,41.000000,40.828133,53880000
2021-05-05,41.200001,41.560001,40.759998,41.389999,41.216499,37471100
2021-05-06,41.480000,42.060001,41.240002,42.009998,41.833897,39044400
2021-05-07,41.130001,42.250000,41.110001,42.180000,42.003185,39249200
2021-05-10,42.500000,42.939999,42.029999,42.049999,41.873730,41271500
2021-05-11,41.549999,42.340000,41.340000,41.570000,41.395744,42964700
2021-05-12,42.380001,42.560001,41.040001,41.180000,41.007378,47533000
2021-05-13,40.860001,42.090000,40.779999,41.840000,41.664612,42026100
2021-05-14,42.060001,42.480000,41.919998,42.360001,42.182434,30932600
2021-05-17,42.240002,42.849998,42.160000,42.740002,42.560841,32656400
2021-05-18,42.700001,42.950001,42.139999,42.160000,41.983269,37880300
2021-05-19,41.650002,42.000000,41.310001,41.970001,41.794067,42672800
2021-05-20,41.900002,42.130001,41.459999,41.869999,41.694485,36871100
2021-05-21,42.020000,42.599998,41.889999,42.400002,42.222267,40243800
